	species	climate	environment	depth_min	depth_max
1034	Sardina pilchardus	subtropical	oceanodromous freshwater marine brackish pelagic-neritic	10.0	100.0
1035	Sardinella albella	tropical	reef-associated marine	0.0	50.0
1036	Sardinella maderensis	subtropical	oceanodromous marine brackish pelagic-neritic	0.0	80.0
1037	Sardinops melanostictus	subtropical	oceanodromous marine pelagic-neritic	0.0	200.0
1038	Sargocentron rubrum	subtropical	reef-associated marine	1.0	84.0
1039	Sarotherodon melanotheron	tropical	freshwater brackish demersal	3.0	
1040	Satyrichthys amiscus		marine demersal deep-water		
1041	Saurida undosquamis	subtropical	amphidromous reef-associated marine	1.0	350.0
1042	Saurogobio dumerili	subtropical	freshwater benthopelagic		
1043	Scaphiodonichthys acanthopterus	tropical	freshwater benthopelagic		
1044	Scartelaos histophorus	tropical	amphidromous marine brackish demersal		
1045	Scarus forsteni	tropical	reef-associated marine	3.0	30.0
1046	Scarus ghobban	tropical	reef-associated marine brackish	3.0	36.0
1047	Scarus rubroviolaceus	tropical	reef-associated marine	1.0	36.0
1048	Scarus schlegeli	tropical	reef-associated marine	1.0	50.0
1049	Scatophagus argus	tropical	amphidromous reef-associated freshwater marine brackish	1.0	4.0
1050	Schedophilus velaini		bathypelagic marine deep-water	40.0	500.0
1051	Schistura balteata	tropical	freshwater benthopelagic		
1052	Schizopygopsis thermalis		freshwater benthopelagic		
1053	Schizopygopsis younghusbandi		freshwater benthopelagic		
1054	Schizothorax biddulphi	temperate	freshwater benthopelagic		
1055	Schizothorax macropogon		freshwater benthopelagic		
1056	Schizothorax oconnori		freshwater benthopelagic		
1057	Schizothorax richardsonii	tropical	freshwater demersal potamodromous		
1058	Schizothorax waltoni		freshwater benthopelagic		
1059	Schizothorax wangchiachii	subtropical	freshwater benthopelagic		
1060	Sciades seemanni	tropical	freshwater marine brackish demersal		
1061	Sciaenops ocellatus	subtropical	oceanodromous marine brackish demersal	10.0	
1062	Scleropages formosus	tropical	freshwater benthopelagic		
1063	Scobinichthys granulatus	temperate	reef-associated marine		
1064	Scomber australasicus	subtropical	oceanodromous marine pelagic-neritic	87.0	200.0
1065	Scomber colias	temperate	marine brackish pelagic-neritic		
1066	Scomber japonicus	subtropical	oceanodromous marine pelagic-neritic	0.0	300.0
1067	Scomber scombrus	temperate	oceanodromous marine brackish pelagic-neritic	0.0	1000.0
1068	Scomberomorus cavalla	tropical	reef-associated oceanodromous marine	5.0	140.0
