species	metabolism_data	speed_data	gill_area_data
Barbus trimaculatus	False	False	False
Coilia lindmani	False	False	False
Odax cyanomelas	False	False	False
Acrossocheilus hemispinus	False	False	False
Citharinus congicus	False	False	False
Sphoeroides parvus	False	False	False
Plotosus japonicus	False	False	False
Leptoderma macrophthalmum	False	False	False
Megalobrama amblycephala	False	False	False
Alosa pseudoharengus	False	True	False
Schizothorax macropogon	False	False	False
Myxus capensis	False	False	False
Alepocephalus bicolor	False	False	False
Tetraodon nigroviridis	False	False	False
Tridentiger bifasciatus	False	False	False
Rastrelliger kanagurta	False	False	False
Takifugu pardalis	False	False	False
Makaira mazara	False	False	False
Epinephelus bruneus	False	False	False
Pseudobalistes flavimarginatus	False	False	False
Moolgarda cunnesius	False	False	False
Glyptothorax fokiensis	False	False	False
Hydrolycus scomberoides	False	False	False
Anoplopoma fimbria	False	False	False
Lutjanus rivulatus	False	False	False
Takifugu oblongus	False	False	False
Misgurnus anguillicaudatus	False	False	False
Bathytroctes macrolepis	False	False	False
Aphredoderus sayanus	False	False	False
Rhinecanthus aculeatus	False	False	False
Gobiobotia brevibarba	False	False	False
Ilisha elongata	False	False	False
Atractosteus spatula	False	False	False
Paratilapia polleni	False	False	False
Sicyopterus japonicus	False	False	False
Gobiobotia macrocephala	False	False	False
Bufoceratias thele	False	False	False
Alburnus tarichi	False	False	False
Amanses scopas	False	False	False
Ceratias uranoscopus	False	False	False
Cynoglossus semilaevis	False	False	False
Myripristis berndti	False	False	False
Lepisosteus osseus	False	False	False
Thunnus orientalis	False	False	False
Triodon macropterus	False	False	False
Bathytroctes breviceps	False	False	False
Tor putitora	False	False	False
Sardina pilchardus	False	False	False
Rhinomugil nasutus	False	False	False
Acipenser ruthenus	False	False	False
Anguilla bicolor	False	False	False
Sagamichthys abei	True	False	False
Alosa alosa	False	False	False
Nansenia ardesiaca	False	False	False
Acheilognathus intermedia	False	False	False
Oreochromis mossambicus	True	False	False
Crenimugil crenilabis	False	False	False
Pseudohemiculter dispar	False	False	False
Anarhichas minor	True	False	False
Myctophum orientale	False	False	False
Sardinella maderensis	False	False	False
Jenkinsia lamprotaenia	False	False	False
Torquigener brevipennis	False	False	False
Niwaella delicata	False	False	False
Zebrasoma flavescens	False	False	False
Paraplagusia japonica	False	False	False
Petrocephalus microphthalmus	False	False	False
Chaenocephalus aceratus	True	False	True
Tinca tinca	True	False	True
Potamothrissa acutirostris	False	False	False
Thaumatichthys pagidostomus	False	False	False
Opistognathus jacksoniensis	False	False	False
Ancherythroculter nigrocauda	False	False	False
Sewellia lineolata	False	False	False
Potamalosa richmondia	False	False	False
Alepocephalus tenebrosus	False	False	False
Cheilinus undulatus	False	False	False
Tetraodon cutcutia	False	False	False
Pararasbora moltrechti	False	False	False
Hypophthalmichthys molitrix	False	False	False
Odontobutis platycephala	False	False	False
Chaca bankanensis	False	False	False
Anguilla australis	True	False	False
Aesopia cornuta	False	False	False
Lamprogrammus niger	False	False	False
Lates calcarifer	False	False	False
Schedophilus velaini	False	False	False
Morone saxatilis	True	True	True
Hoplias malabaricus	True	False	True
Clupea pallasii	False	False	False
Branchiostegus argentatus	False	False	False
Spratelloides gracilis	False	False	False
Anoplogaster cornuta	True	False	False
Microcanthus strigatus	False	False	False
Paralichthys olivaceus	False	False	False
Aethaloperca rogaa	False	False	False
Thunnus thynnus	False	True	True
Scopelengys tristis	True	False	False
Labeo batesii	False	False	False
Hemibarbus barbus	False	False	False
Cobitis sinensis	False	False	False
Icosteus aenigmaticus	False	False	False
Arothron manilensis	False	False	False
Schistura balteata	False	False	False
Salangichthys microdon	False	False	False
Schizothorax oconnori	False	False	False
Pterocaesio tile	False	False	False
Myctophum asperum	False	False	False
Pseudogobius javanicus	False	False	False
Synechogobius ommaturus	False	False	False
Toxotes chatareus	False	False	False
Parajulis poecilepterus	False	False	False
Pellonula vorax	False	False	False
Anyperodon leucogrammicus	False	False	False
Epinephelus akaara	True	False	False
Glossogobius circumspectus	False	False	False
Emmelichthys struhsakeri	False	False	False
Alepocephalus longiceps	False	False	False
Pelteobagrus eupogon	False	False	False
Trichomycterus areolatus	False	False	False
Ethmalosa fimbriata	False	False	False
Lefua echigonia	False	False	False
Pollimyrus adspersus	False	False	False
Elassoma zonatum	False	False	False
Paedocypris progenetica	False	False	False
Masturus lanceolatus	False	False	False
Salmo trutta	True	True	True
Benthosema glaciale	False	False	False
Rexea nakamurai	False	False	False
Platytroctes apus	False	False	False
Raiamas senegalensis	False	False	False
Arctoscopus japonicus	False	False	False
Cryptopsaras couesii	False	False	False
Stiphodon alcedo	False	False	False
Promethichthys prometheus	False	False	False
Schizothorax wangchiachii	False	False	False
Tetraodon mbu	False	False	False
Acanthopagrus schlegelii	True	False	False
Pseudexostoma yunnanensis	False	False	False
Procypris rabaudi	False	False	False
Galaxias gollumoides	False	False	False
Oreoleuciscus potanini	False	False	False
Hiodon tergisus	False	False	False
Zeus faber	False	True	True
Lampanyctus macdonaldi	False	False	False
Sinocyclocheilus altishoulderus	False	False	False
Yaoshanicus arcus	False	False	False
Coreoleuciscus splendidus	False	False	False
Epinephelus lanceolatus	False	False	False
Scarus ghobban	False	False	False
Pagrus major	False	False	True
Chaunax tosaensis	False	False	False
Rasbora cephalotaenia	False	False	False
Variola louti	False	False	False
Notoscopelus elongatus	False	False	False
Sinogastromyzon puliensis	False	False	False
Cottus reinii	False	False	False
Takifugu niphobles	False	False	False
Siniperca scherzeri	False	False	False
Glossogobius olivaceus	False	False	False
Cyphomyrus discorhynchus	False	False	False
Johnius grypotus	False	False	False
Sphoeroides pachygaster	False	False	False
Homatula variegatus	False	False	False
Sillago sihama	False	False	False
Gymnotus carapo	False	False	False
Corydoras rabauti	False	False	False
Luvarus imperialis	False	False	False
Luciobarbus capito	False	False	False
Sebastiscus marmoratus	False	False	False
Epinephelus areolatus	False	False	False
Leuciscus waleckii	False	False	False
Exocoetus volitans	False	False	False
Cypselurus hiraii	False	False	False
Lutjanus malabaricus	False	False	False
Rhynchactis macrothrix	False	False	False
Microthrissa congica	False	False	False
Electrophorus electricus	False	False	False
Cetostoma regani	False	False	False
Schizothorax richardsonii	False	False	False
Pristipomoides multidens	False	False	False
Abramis brama	True	True	False
Glaridoglanis andersonii	False	False	False
Seriola quinqueradiata	True	False	True
Gudusia chapra	False	False	False
Esox lucius	True	True	True
Dactyloptena tiltoni	False	False	False
Astronotus ocellatus	True	False	False
Tridentiger barbatus	False	False	False
Carnegiella strigata	False	False	False
Xenocypris davidi	False	False	False
Engraulis japonicus	True	False	False
Conger myriaster	False	False	False
Nicholsicypris normalis	False	False	False
Boreogadus saida	True	False	False
Hyperlophus vittatus	False	False	False
Onychostoma lini	False	False	False
Chilodus punctatus	False	False	False
Girella punctata	False	False	False
Galaxias maculatus	False	True	False
Gymnarchus niloticus	False	False	False
Sphoeroides annulatus	False	False	False
Verasper moseri	False	False	False
Anguilla obscura	False	False	False
Ataxolepis apus	False	False	False
Gymnocypris eckloni	False	False	False
Lagocephalus wheeleri	False	False	False
Arothron hispidus	False	False	False
Lutjanus kasmira	False	False	False
Halichoeres melanurus	False	False	False
Glyptosternon maculatum	False	False	False
Rhodeus uyekii	False	False	False
Hemiodopsis gracilis	False	False	False
Rhinomuraena quaesita	False	False	False
Tenualosa ilisha	False	False	True
Anguilla japonica	True	False	False
Puntius ticto	True	False	False
Chitala blanci	False	False	False
Xenodermichthys copei	False	False	False
Sundasalanx mekongensis	False	False	False
Harpadon nehereus	False	False	False
Micropterus salmoides	True	True	False
Monacanthus chinensis	False	False	False
Sargocentron rubrum	False	False	False
Anarhichas denticulatus	False	False	False
Albula glossodonta	False	False	False
Pelagocephalus marki	False	False	False
Poromitra oscitans	False	False	False
Leptochilichthys agassizii	False	False	False
Moringua microchir	False	False	False
Branchiostegus albus	False	False	False
Abalistes stellaris	False	False	False
Champsocephalus gunnari	False	False	False
Oreoglanis macropterus	False	False	False
Dimidiochromis compressiceps	True	False	False
Scobinichthys granulatus	False	False	False
Gnathopogon elongatus	False	False	False
Malapterurus electricus	False	False	False
Harengula jaguana	False	False	False
Acrossocheilus monticola	False	False	False
Notothenia coriiceps	True	False	False
Chromobotia macracanthus	False	False	False
Thunnus tonggol	False	False	False
Thunnus obesus	False	True	False
Pollachius virens	False	True	True
Takifugu porphyreus	False	False	False
Tylerius spinosissimus	False	False	False
Labeo senegalensis	False	False	False
Lepomis cyanellus	True	False	False
Sander canadensis	False	False	False
Triplophysa bleekeri	False	False	False
Pelteobagrus vachellii	False	False	False
Mola mola	False	False	True
Zu cristatus	False	False	False
Nimbochromis linni	False	False	False
Pagrus auriga	False	False	False
Carassius carassius	True	False	False
Micropercops swinhonis	False	False	False
Linophryne bicornis	False	False	False
Beryx decadactylus	False	False	False
Amphiprion ocellaris	False	False	False
Parazen pacificus	False	False	False
Trachinotus ovatus	False	False	False
Amphiprion bicinctus	False	False	False
Salarias fasciatus	False	False	False
Sprattus antipodum	False	False	False
Fundulus olivaceus	False	False	False
Microphysogobio longidorsalis	False	False	False
Epinephelus fuscoguttatus	False	False	False
Gnathonemus petersii	True	False	False
Acipenser gueldenstaedtii	True	False	False
Myctophum punctatum	False	False	False
Hara jerdoni	False	False	False
Cephalopholis argus	False	False	False
Ilisha africana	False	False	False
Auxis thazard	False	False	False
Siniperca knerii	False	False	False
Onychostoma barbatum	False	False	False
Pseudolaubuca engraulis	False	False	False
Mylopharyngodon piceus	False	True	False
Chlorophthalmus agassizi	False	False	False
Carpiodes carpio	False	False	False
Parahucho perryi	False	False	False
Pomatomus saltatrix	False	False	False
Spinibarbus denticulatus	False	False	False
Clupeichthys aesarnensis	False	False	False
Rhinogobius giurinus	False	False	False
Ceratoscopelus maderensis	False	False	False
Gyrinomimus sp.	False	False	False
Tetractenos glaber	False	False	False
Aphyocypris chinensis	False	False	False
Diretmoides veriginae	False	False	False
Trachyrincus murrayi	False	False	False
Stylephorus chordatus	False	False	False
Trichiurus japonicus	False	False	True
Sprattus muelleri	False	False	False
Lophiogobius ocellicauda	False	False	False
Synodus variegatus	False	False	False
Pellonula leonensis	False	False	False
Escualosa thoracata	False	False	False
Polypterus teugelsi	False	False	False
Acipenser transmontanus	True	False	False
Melichthys vidua	False	False	False
Brachyhypopomus occidentalis	False	False	False
Spicara maena	False	False	True
Histrio histrio	False	False	False
Diaphus chrysorhynchus	False	False	False
Polypterus ansorgii	False	False	False
Coreoperca kawamebari	False	False	False
Brevimyrus niger	False	False	False
Plectropomus leopardus	False	False	False
Catostomus commersonii	True	False	True
Channa argus	False	False	False
Pseudopentaceros richardsoni	False	False	False
Microphysogobio brevirostris	False	False	False
Colomesus asellus	False	False	False
Arripis trutta	False	False	False
Konosirus punctatus	False	False	False
Etroplus maculatus	False	False	False
Cantherhines pardalis	False	False	False
Auxis rochei	False	True	False
Pseudalutarius nasicornis	False	False	False
Squaliobarbus curriculus	False	False	False
Hemibarbus mylodon	False	False	False
Amazonsprattus scintilla	False	False	False
Mylocheilus caurinus	False	False	False
Oxyurichthys formosanus	False	False	False
Pterapogon kauderni	False	False	False
Polypterus endlicherii	False	False	False
Cephalopholis sonnerati	False	False	False
Brienomyrus brachyistius	False	False	False
Stolephorus chinensis	False	False	False
Hucho taimen	False	False	False
Cheilochromis euchilus	False	False	False
Anguilla rostrata	True	False	True
Polyodon spathula	False	False	False
Pareutropius debauwi	False	False	False
Acentrophryne dolichonema	False	False	False
Acheilognathus koreensis	False	False	False
Hapalogenys nigripinnis	False	False	False
Neoscopelus microchir	False	False	False
Pterygoplichthys disjunctivus	False	False	False
Microrasbora erythromicron	False	False	False
Benthodesmus tenuis	False	False	False
Centromochlus perugiae	False	False	False
Bathylaco nigricans	False	False	False
Narcetes erimelas	False	False	False
Anoplocapros lenticularis	False	False	False
Triphoturus nigrescens	False	False	False
Glyptothorax trilineatus	False	False	False
Macroramphosus scolopax	False	False	False
Merluccius merluccius	False	True	False
Etrumeus micropus	False	False	False
Boraras maculatus	False	False	False
Euthynnus alletteratus	False	False	True
Spinachia spinachia	True	True	False
Tetraodon miurus	False	False	False
Meuschenia hippocrepis	False	False	False
Phoxinus phoxinus	False	False	False
Aspidoparia morar	False	False	False
Culter mongolicus	False	False	False
Chanodichthys dabryi	False	False	False
Erimyzon oblongus	True	False	False
Oncorhynchus kisutch	True	True	False
Acanthurus lineatus	False	False	False
Anguilla dieffenbachii	False	False	False
Larimichthys crocea	False	False	False
Schizopygopsis younghusbandi	False	False	False
Campostoma anomalum	True	False	False
Aphyocypris kikuchii	False	False	False
Nannobrachium ritteri	True	False	False
Tetrabrachium ocellatum	False	False	False
Hyporthodus octofasciatus	False	False	False
Paracirrhites arcatus	False	False	False
Triacanthus biaculeatus	False	False	False
Cromeria occidentalis	False	False	False
Etheostoma radiosum	False	False	False
Moxostoma congestum	False	False	False
Labichthys carinatus	False	False	False
Carinotetraodon salivator	False	False	False
Tropheus duboisi	False	False	False
Oncorhynchus tshawytscha	True	True	False
Hucho bleekeri	False	False	False
Elassoma evergladei	False	False	False
Dactyloptena peterseni	False	False	False
Plectropomus areolatus	False	False	False
Oncorhynchus mykiss	True	True	True
Sciades seemanni	False	False	False
Hypoatherina tsurugae	False	False	False
Scomber colias	False	False	False
Ptychochromoides katria	False	False	False
Ethmidium maculatum	False	False	False
Oneirodes thompsoni	False	False	False
Psenes pellucidus	False	False	False
Hypoplectrus gemma	False	False	False
Hemigrammocypris rasborella	False	False	False
Cynoglossus abbreviatus	False	False	False
Campylomormyrus numenius	False	False	False
Anguilla reinhardtii	False	False	False
Acheilognathus signifer	False	False	False
Ariosoma shiroanago	False	False	False
Sardinella albella	False	False	False
Rhynchocypris kumgangensis	False	False	False
Trixiphichthys weberi	False	False	False
Squalidus wolterstorffi	False	False	False
Coilia mystus	False	False	False
Gymnocypris namensis	False	False	False
Stenobrachius leucopsarus	True	False	False
Merlangius merlangus	False	True	True
Lebiasina astrigata	False	False	False
Marilyna darwinii	False	False	False
Ariomma lurida	False	False	False
Gyrinomimus myersi	False	False	False
Psephurus gladius	False	False	False
Cottus poecilopus	False	False	False
Blicca bjoerkna	False	False	True
Salanx ariakensis	False	False	False
Coilia nasus	False	False	False
Denticeps clupeoides	False	False	False
Luciogobius platycephalus	False	False	False
Epinephelus epistictus	False	False	False
Mastacembelus favus	False	False	False
Kaupichthys hyoproroides	False	False	False
Notolychnus valdiviae	False	False	False
Minytrema melanops	False	False	False
Hippocampus comes	False	False	False
Danio rerio	False	False	False
Auriglobus modestus	False	False	False
Alepocephalus productus	False	False	False
Bathygadus antrodes	False	False	False
Apeltes quadracus	False	False	False
Pseudopungtungia nigra	False	False	False
Anguilla celebesensis	False	False	False
Alepocephalus bairdii	False	False	False
Dendrophysa russelii	False	False	False
Leporinus affinis	False	False	False
Liobagrus obesus	False	False	False
Raiamas guttatus	False	False	False
Luciosoma setigerum	False	False	False
Lophiodes caulinaris	False	False	False
Percina macrolepida	False	False	False
Potamothrissa obtusirostris	False	False	False
Diagramma picta	False	False	False
Salvelinus fontinalis	True	False	False
Rasbora vaterifloris	False	False	False
Cromileptes altivelis	False	False	False
Lipolagus ochotensis	True	False	False
Puntius snyderi	False	False	False
Neolamprologus brichardi	True	False	False
Caranx melampygus	False	False	False
Xenomystus nigri	False	False	False
Anguilla marmorata	False	False	False
Liobagrus nigricauda	False	False	False
Diaphus theta	True	False	False
Epinephelus moara	False	False	False
Istiophorus albicans	False	False	False
Scatophagus argus	False	False	False
Aulorhynchus flavidus	False	False	False
Puntius semifasciolatus	False	False	False
Phenacobius mirabilis	False	False	False
Diretmus argenteus	False	False	False
Chaenomugil proboscideus	False	False	False
Paramonacanthus choirocephalus	False	False	False
Pelecus cultratus	False	False	False
Horadandia atukorali	False	False	False
Gadus chalcogrammus	True	False	False
Brienomyrus niger	False	False	False
Boleophthalmus pectinirostris	False	False	False
Pleuragramma antarcticum	False	False	False
Barbonymus gonionotus	False	False	False
Epinephelus septemfasciatus	False	False	False
Diplacanthopoma brachysoma	False	False	False
Psetta maxima	True	False	False
Diaphus luetkeni	False	False	False
Helicolenus avius	False	False	False
