species	temperature_min	temperature_max	climate	environment	depth_min	depth_max	metabolism_data	speed_data	gill_area_data
Tor putitora	13.0	30.0	subtropical	freshwater benthopelagic potamodromous	0	NA	False	False	False
Tor sinensis	NA	NA	tropical	freshwater benthopelagic potamodromous	NA	NA	False	False	False
Torquigener brevipennis	NA	NA	subtropical	marine demersal	20	100	False	False	False
Torquigener hypselogeneion	NA	NA	tropical	marine brackish demersal	18	22	False	False	False
Torquigener pleurogramma	NA	NA	subtropical	marine brackish demersal	NA	30	False	False	False
Toxotes chatareus	25.0	30.0	tropical	pelagic amphidromous freshwater brackish	NA	NA	False	False	False
Trachidermus fasciatus	NA	NA	subtropical	benthopelagic freshwater marine brackish catadromous	NA	NA	False	False	False
Trachinops taeniatus	NA	NA	temperate	marine pelagic-neritic	NA	NA	False	False	False
Trachinotus ovatus	NA	NA	subtropical	marine brackish pelagic-neritic	50	200	False	False	False
Trachipterus trachipterus	NA	NA	NA	bathypelagic marine deep-water	100	600	False	False	False
Trachurus japonicus	NA	NA	tropical	oceanodromous marine pelagic-neritic	0	275	False	False	False
Trachurus trachurus	NA	NA	subtropical	oceanodromous marine pelagic-neritic	0	1050	False	False	True
Trachyrincus murrayi	NA	NA	temperate	benthopelagic marine	0	1630	False	False	False
Trematocranus placodon	24.0	26.0	tropical	freshwater demersal	NA	32	False	False	False
Triacanthodes anomalus	NA	NA	tropical	marine demersal	NA	NA	False	False	False
Triacanthus biaculeatus	20.0	30.0	tropical	marine brackish demersal	NA	60	False	False	False
Tribolodon brandtii	10.0	24.0	temperate	anadromous freshwater marine brackish demersal	NA	NA	False	False	False
Tribolodon hakonensis	NA	NA	temperate	freshwater benthopelagic brackish	NA	NA	False	False	False
Tribolodon nakamurai	NA	NA	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Tribolodon sachalinensis	NA	NA	temperate	benthopelagic freshwater marine brackish anadromous	NA	NA	False	False	False
Trichiurus japonicus	NA	NA	subtropical	amphidromous benthopelagic marine brackish	0	589	False	False	True
Trichiurus lepturus	NA	NA	subtropical	amphidromous benthopelagic marine brackish	0	589	False	False	True
Trichomycterus areolatus	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Tridentiger barbatus	NA	NA	temperate	brackish demersal	NA	NA	False	False	False
Tridentiger bifasciatus	10.0	25.0	temperate	amphidromous freshwater marine brackish demersal	NA	NA	False	False	False
Trigonostigma espei	23.0	28.0	tropical	freshwater benthopelagic	NA	NA	False	False	False
Trigonostigma heteromorpha	22.0	25.0	tropical	freshwater benthopelagic	NA	NA	False	False	False
Triodon macropterus	NA	NA	tropical	reef-associated marine	50	300	False	False	False
Triphoturus nigrescens	NA	NA	NA	bathypelagic marine deep-water oceanodromous	100	1000	False	False	False
Triplophysa bleekeri	NA	NA	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Triplophysa rosa	13.0	NA	subtropical	freshwater demersal	NA	NA	False	False	False
Triplophysa stoliczkai	16.0	20.0	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Triso dermopterus	NA	NA	tropical	marine demersal	22	103	False	False	False
Trixiphichthys weberi	NA	NA	tropical	marine demersal	NA	65	False	False	False
Tropheus duboisi	24.0	26.0	tropical	freshwater demersal	NA	NA	False	False	False
Tropheus moorii	24.0	26.0	tropical	freshwater benthopelagic	NA	NA	True	False	False
Trypauchen vagina	NA	NA	tropical	amphidromous marine brackish demersal	NA	NA	False	False	True
Tylerius spinosissimus	NA	NA	NA	bathydemersal marine deep-water	250	435	False	False	False
Tylochromis polylepis	NA	NA	tropical	freshwater demersal	NA	NA	False	False	False
Umbra pygmaea	4.0	23.0	temperate	freshwater demersal non-migratory	NA	NA	False	False	False
Vaillantella maassi	NA	NA	tropical	freshwater demersal	NA	NA	False	False	False
Valamugil cunnesius	NA	NA	tropical	catadromous freshwater marine brackish demersal	NA	NA	False	False	False
Variola albimarginata	NA	NA	tropical	reef-associated marine	4	200	False	False	False
Variola louti	NA	NA	tropical	reef-associated marine non-migratory	3	250	False	False	False
Ventrifossa garmani	NA	NA	NA	bathydemersal marine non-migratory deep-water	200	720	False	False	False
Verasper moseri	NA	NA	temperate	marine demersal	1	900	False	False	False
Verasper variegatus	NA	NA	subtropical	marine demersal	NA	NA	False	False	False
Xanthichthys auromarginatus	NA	NA	tropical	reef-associated marine	8	150	False	False	False
Xenobalistes tumidipectoris	NA	NA	tropical	marine demersal	NA	NA	False	False	False
Xenocypris argentea	NA	NA	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Xenocypris davidi	NA	NA	subtropical	freshwater benthopelagic brackish	NA	NA	False	False	False
Xenodermichthys copei	NA	NA	NA	bathypelagic marine deep-water	100	2650	False	False	False
Xenomystus nigri	22.0	28.0	tropical	freshwater demersal	NA	NA	False	False	False
Xenotoca eiseni	15.0	32.0	temperate	freshwater demersal	NA	NA	False	False	False
Xiphias gladius	5.0	27.0	temperate	pelagic-oceanic oceanodromous marine	0	800	False	True	False
Xiphophorus hellerii	22.0	28.0	tropical	freshwater benthopelagic brackish non-migratory	NA	NA	True	False	False
Xiphophorus maculatus	18.0	25.0	tropical	freshwater benthopelagic non-migratory	NA	NA	False	False	False
Xyrauchen texanus	NA	NA	temperate	freshwater demersal potamodromous	NA	NA	False	False	False
Yaoshanicus arcus	NA	NA	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Zacco platypus	10.0	22.0	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Zacco sieboldii	NA	NA	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Zalieutes elater	NA	NA	tropical	marine demersal	18	113	False	False	False
Zanclus cornutus	24.0	28.0	subtropical	reef-associated marine	3	182	False	False	False
Zebrasoma flavescens	24.0	28.0	tropical	reef-associated marine	2	46	False	False	False
Zebrias zebra	NA	NA	tropical	reef-associated marine brackish	NA	NA	False	False	False
Zenion japonicum	NA	NA	NA	bathydemersal marine deep-water	200	400	False	False	False
Zenopsis nebulosus	NA	NA	NA	benthopelagic marine deep-water	30	800	False	False	False
Zeus faber	NA	NA	temperate	benthopelagic oceanodromous marine brackish	5	400	False	True	True
Zu cristatus	NA	NA	NA	bathypelagic marine deep-water	NA	90	False	False	False
