species	temperature_min	temperature_max	climate	environment
Centromochlus perugiae	26.0	28.0	tropical	freshwater benthopelagic
Aphredoderus sayanus	5.0	26.0	temperate	freshwater demersal
Notemigonus crysoleucas		35.0	temperate	freshwater demersal
Gonorynchus abbreviatus			subtropical	marine demersal
Pellonula vorax			tropical	anadromous freshwater marine brackish pelagic-neritic
Morone saxatilis	8.0	25.0	temperate	anadromous freshwater marine brackish demersal
Scomberomorus cavalla			tropical	reef-associated oceanodromous marine
Coilia reynaldi			tropical	amphidromous freshwater marine brackish pelagic-neritic
Myxus capensis			subtropical	catadromous freshwater marine brackish demersal
Pteragogus flagellifer			tropical	reef-associated marine
Tenualosa thibaudeaui			tropical	pelagic freshwater potamodromous
Siniperca chuatsi	4.0	22.0	temperate	freshwater benthopelagic
Oxymonacanthus longirostris			tropical	reef-associated marine non-migratory
Schizopygopsis thermalis				freshwater benthopelagic
Sinibrama macrops			subtropical	freshwater benthopelagic
Boulengeromyrus knoepffleri			tropical	freshwater demersal
Gymnotus carapo	22.0	28.0	subtropical	freshwater benthopelagic potamodromous
Melanotaenia lacustris	20.0	24.0	tropical	freshwater benthopelagic
Takifugu porphyreus			temperate	marine demersal
Rhodeus suigensis			temperate	freshwater benthopelagic
Channa argus	14.0	22.0	subtropical	freshwater benthopelagic
Rhyacichthys aspro			tropical	amphidromous freshwater marine brackish demersal
Lutjanus russellii			tropical	reef-associated marine brackish
Liobagrus reinii			temperate	freshwater benthopelagic
Notolychnus valdiviae				bathypelagic marine deep-water oceanodromous
Chauliodus sloani				bathypelagic marine deep-water
Benthodesmus tenuis				benthopelagic marine deep-water
Tetranematichthys quadrifilis			tropical	freshwater demersal
Acipenser transmontanus		23.0	subtropical	anadromous freshwater marine brackish demersal
Nemichthys scolopaceus				bathypelagic marine deep-water
Beryx splendens			subtropical	benthopelagic marine
Kentrocapros aculeatus			temperate	benthopelagic marine
Mylopharyngodon piceus		40.0	subtropical	freshwater demersal potamodromous
Phoxinus oxycephalus	10.0	20.0	temperate	freshwater demersal
Assurger anzac			tropical	benthopelagic marine
Leptobotia elongata	22.0	28.0	subtropical	freshwater demersal
Variola louti			tropical	reef-associated marine non-migratory
Thyrsitoides marleyi				benthopelagic marine deep-water
Pleuronichthys cornutus			temperate	marine demersal
Conger myriaster			temperate	oceanodromous marine demersal
Plagiognathops microlepis			temperate	freshwater benthopelagic
Glossogobius circumspectus			tropical	freshwater brackish demersal
Phenacobius mirabilis	5.0	25.0	subtropical	freshwater demersal
Bathytroctes microlepis				bathypelagic marine deep-water
Gambusia affinis	12.0	29.0	subtropical	freshwater benthopelagic brackish potamodromous
Koreocobitis rotundicaudata			temperate	freshwater demersal
Anyperodon leucogrammicus			tropical	reef-associated marine non-migratory
Gigantactis vanhoeffeni				bathypelagic marine deep-water
Epinephelus merra			tropical	reef-associated marine
Naso lopezi			tropical	reef-associated marine
Acrossocheilus monticola			temperate	freshwater benthopelagic
Polypterus bichir			tropical	freshwater demersal potamodromous
Salmostoma bacaila			tropical	freshwater benthopelagic brackish potamodromous
Cobitis takatsuensis			temperate	freshwater benthopelagic
Gymnocypris dobula			subtropical	freshwater benthopelagic
Parakneria cameronensis			tropical	freshwater benthopelagic
Koreocobitis naktongensis			subtropical	freshwater demersal
Glaridoglanis andersonii				freshwater demersal
Torquigener pleurogramma			subtropical	marine brackish demersal
Scarus ghobban			tropical	reef-associated marine brackish
Alepocephalus bicolor				bathydemersal marine deep-water
Sarcocheilichthys parvus			subtropical	freshwater benthopelagic
Etroplus maculatus	20.0	25.0	tropical	amphidromous freshwater benthopelagic brackish
Narcetes stomias				bathypelagic marine deep-water
Pythonichthys microphthalmus			tropical	marine demersal
Saurida undosquamis			subtropical	amphidromous reef-associated marine
Cyprinella lutrensis	15.0	25.0	temperate	freshwater benthopelagic
Xenobalistes tumidipectoris			tropical	marine demersal
Thunnus albacares	15.0	31.0	tropical	pelagic-oceanic oceanodromous marine brackish
Misgurnus anguillicaudatus	5.0	25.0	subtropical	freshwater demersal
Macrorhamphosodes uradoi			tropical	marine demersal
Merlangius merlangus			temperate	benthopelagic oceanodromous marine
Hemigrammocypris rasborella			temperate	freshwater benthopelagic brackish
Acrossocheilus hemispinus			subtropical	freshwater benthopelagic
Alepocephalus umbriceps				bathydemersal marine deep-water
Rastrelliger kanagurta	17.0		tropical	oceanodromous marine pelagic-neritic
Glyptothorax fokiensis			subtropical	freshwater benthopelagic brackish
Catostomus commersonii		29.0	temperate	catadromous freshwater demersal
Siniperca obscura			temperate	freshwater benthopelagic
Monopterus albus	25.0	28.0	tropical	freshwater brackish potamodromous demersal
Gymnocypris eckloni			temperate	freshwater benthopelagic
Gasterochisma melampus	8.0	15.0	subtropical	pelagic-oceanic oceanodromous marine
Anguilla australis			subtropical	benthopelagic freshwater marine brackish catadromous
Anoplogaster cornuta				bathypelagic marine deep-water
Pimelodus pictus	22.0	25.0	tropical	freshwater benthopelagic
Anguilla marmorata			tropical	catadromous freshwater marine brackish demersal
Chrysochir aureus			tropical	benthopelagic marine brackish
Psenes cyanophrys				bathypelagic marine deep-water oceanodromous
Gillichthys seta			subtropical	marine demersal
Coregonus oxyrinchus	4.0	20.0	temperate	anadromous freshwater marine brackish demersal
Schistura balteata			tropical	freshwater benthopelagic
Cromileptes altivelis			tropical	reef-associated marine
Gadus morhua		15.0	temperate	benthopelagic oceanodromous marine brackish
Canthigaster jactator			tropical	reef-associated marine
Tor putitora	13.0	30.0	subtropical	freshwater benthopelagic potamodromous
Gilchristella aestuaria			subtropical	amphidromous freshwater marine brackish pelagic-neritic
Thymallus thymallus	6.0	18.0	temperate	freshwater benthopelagic brackish non-migratory
Engraulis encrasicolus			subtropical	oceanodromous marine brackish pelagic-neritic
Rhodeus ocellatus	18.0	24.0	subtropical	freshwater benthopelagic
Gymnosarda unicolor	20.0	28.0	tropical	reef-associated oceanodromous marine
Lepisosteus oculatus	12.0	20.0	temperate	freshwater brackish demersal
Sciades seemanni	22.0	26.0	tropical	freshwater marine brackish demersal
Squaliobarbus curriculus			subtropical	freshwater benthopelagic
Johnius grypotus			tropical	benthopelagic marine
Thryssa baelama			tropical	reef-associated marine brackish
Papyrocranus congoensis			tropical	freshwater demersal
Brevoortia tyrannus		26.0	subtropical	oceanodromous marine brackish pelagic-neritic
Acipenser dabryanus			temperate	anadromous freshwater demersal
Astatotilapia calliptera	24.0	28.0	tropical	freshwater benthopelagic
Gila robusta			subtropical	freshwater benthopelagic
Sagamichthys abei				bathypelagic marine deep-water
Genyomyrus donnyi			tropical	freshwater demersal
Potamothrissa acutirostris			tropical	pelagic freshwater
Anguilla bengalensis			tropical	benthopelagic freshwater marine brackish catadromous
Theragra finnmarchica			polar	benthopelagic marine
Spinibarbus caldwelli			subtropical	freshwater benthopelagic
Narcetes erimelas				bathypelagic marine deep-water
Sundasalanx praecox			tropical	freshwater demersal
Pseudobagrus tokiensis			temperate	freshwater benthopelagic
Apteronotus albifrons	23.0	28.0	tropical	freshwater benthopelagic
Chromobotia macracanthus	25.0	30.0	tropical	freshwater demersal
Omegophora armilla			temperate	marine demersal
Phoxinus phoxinus	2.0	20.0	temperate	freshwater brackish potamodromous demersal
Malthopsis jordani				bathydemersal marine deep-water
Platax orbicularis	22.0	28.0	tropical	reef-associated marine brackish
Pentaceros japonicus			subtropical	benthopelagic marine
Taractes asper			temperate	pelagic-oceanic oceanodromous marine
Trachinops taeniatus			temperate	marine pelagic-neritic
Satyrichthys amiscus				marine demersal deep-water
Trachipterus trachipterus				bathypelagic marine deep-water
Trachurus trachurus			subtropical	oceanodromous marine pelagic-neritic
Lipolagus ochotensis				bathypelagic marine deep-water
Verasper variegatus			subtropical	marine demersal
Chelonodon patoca	23.0	28.0	tropical	anadromous reef-associated freshwater marine brackish
Pangasianodon hypophthalmus	22.0	26.0	tropical	freshwater benthopelagic potamodromous
Hoplunnis punctata				marine demersal deep-water
Odontamblyopus rubicundus	20.0	30.0	subtropical	amphidromous benthopelagic marine brackish
Arothron manilensis			tropical	reef-associated marine brackish
Monognathus jesperseni				bathypelagic marine deep-water
Stolephorus chinensis			tropical	marine pelagic-neritic
Chaenocephalus aceratus			polar	marine demersal
Oncorhynchus gorbuscha		21.0	subtropical	anadromous freshwater marine brackish demersal
Hemibarbus maculatus	10.0	24.0	temperate	freshwater benthopelagic
Pollachius pollachius			temperate	benthopelagic oceanodromous marine
Rexea nakamurai				benthopelagic marine deep-water
Micropterus floridanus			subtropical	freshwater benthopelagic
Gymnarchus niloticus	23.0	28.0	tropical	freshwater demersal potamodromous
Osteoglossum bicirrhosum	24.0	30.0	tropical	freshwater benthopelagic
Raiamas senegalensis	22.0	26.0	tropical	freshwater benthopelagic potamodromous
Ilisha elongata			tropical	marine brackish pelagic-neritic
Paralaubuca typus			tropical	freshwater benthopelagic potamodromous
Scaphiodonichthys acanthopterus			tropical	freshwater benthopelagic
Oxyurichthys formosanus			tropical	amphidromous marine brackish demersal
Chaetodontoplus septentrionalis			tropical	reef-associated marine non-migratory
Epinephelus moara			tropical	reef-associated marine
Tridentiger bifasciatus	10.0	25.0	temperate	amphidromous freshwater marine brackish demersal
Dactyloptena peterseni			tropical	marine demersal
Bajacalifornia megalops				bathypelagic marine deep-water
Masturus lanceolatus				bathypelagic marine brackish deep-water
Caristius macropus				bathypelagic marine deep-water
Anguilla megastoma			tropical	catadromous freshwater marine brackish demersal
Bufoceratias thele				bathypelagic marine deep-water
Epinephelus awoara			tropical	reef-associated marine
Glyptosternon maculatum				freshwater demersal
Percopsis transmontana			temperate	freshwater demersal
Abudefduf vaigiensis			tropical	reef-associated oceanodromous marine
Curimatopsis evelynae			tropical	freshwater benthopelagic
Perccottus glenii	15.0	30.0	temperate	freshwater brackish demersal
Coilia lindmani			tropical	pelagic freshwater brackish
Diaphus lucidus				bathypelagic marine deep-water oceanodromous
Mesocottus haitej			temperate	freshwater benthopelagic
